PaymentID,UserID,PayAccount,Amount,PayDate
1,2,QE95040907,400,2021-04-06
2,5,LE11681312,400,2021-03-07
3,6,MK88694939,800,2021-02-18
4,7,FE82777702,400,2021-01-18
5,8,PW68956507,200,2021-01-26
6,9,IG71416418,400,2021-03-06
7,10,NK63435048,200,2021-02-04
8,11,PX45256369,800,2021-02-24
9,12,EW92217557,600,2021-01-13
11,15,IB98413824,200,2021-03-30
12,16,IR33087602,400,2021-01-09
13,17,UK31370876,800,2021-04-11
15,19,QY63889976,200,2021-01-29
16,21,QG22886325,600,2021-01-27
17,23,FW72236458,600,2021-01-09
19,25,VP21758647,200,2021-01-23
20,27,NK61265772,800,2021-01-11
21,28,WG54606045,400,2021-01-10
22,29,NN13323777,600,2021-02-19
24,31,BI76478065,200,2021-01-17
25,33,LI76702952,200,2021-04-05
26,34,BT22339533,400,2021-03-16
27,35,SW64218900,800,2021-02-22
28,36,OV46726243,200,2021-01-02
29,38,EW27667812,800,2021-02-21
30,39,EF73052577,200,2021-01-11
31,40,PR28113954,200,2021-02-22
32,41,OG49368844,200,2021-01-11
33,42,YG62348653,600,2021-02-18
34,43,JM46276266,200,2021-04-04
35,44,DJ98005960,600,2021-01-23
36,45,NN38558684,800,2021-04-02
37,46,PQ45799346,600,2021-02-11
38,47,IV22863856,600,2021-01-11
39,48,OP13555424,800,2021-03-25
40,49,HS25042735,600,2021-04-12
41,50,BN35276781,800,2021-03-15
